Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Sky Gold and Diamonds Ltd.,Retail and Other Services,Small-Cap,December-2025,1298855,43.17
Berger Paints India Ltd.,Chemicals,Mid-Cap,December-2025,781916,43.05
Schaeffler India Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,110107,42.82
Kalpataru Projects International Ltd.,Infrastructure,Small-Cap,December-2025,352439,42.33
Travel Food Services Ltd.,Retail and Other Services,Small-Cap,December-2025,336163,42.33
TBO Tek Ltd.,Travel,Small-Cap,December-2025,251920,41.76
Linde India Ltd.,Energy,Mid-Cap,December-2025,69790,41.60
Fortis Healthcare Ltd.,Healthcare,Mid-Cap,December-2025,456790,41.18
Aditya Birla Lifestyle Brands Ltd.,Retail and Other Services,Small-Cap,December-2025,3183937,41.03
Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,Small-Cap,December-2025,586888,40.79
Honasa Consumer Ltd.,Miscellaneous,Small-Cap,December-2025,1391408,40.08
Escorts Kubota Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,106167,40.01
Gujarat Gas Ltd.,Energy,Small-Cap,December-2025,984342,39.78
Senco Gold Ltd.,Retail and Other Services,Small-Cap,December-2025,1238594,38.96
Jubilant Pharmova Ltd.,Healthcare,Small-Cap,December-2025,357265,38.64
Indraprastha Gas Ltd.,Energy,Small-Cap,December-2025,1918505,37.79
Afcons Infrastructure Ltd.,Infrastructure,Small-Cap,December-2025,947994,37.49
Safari Industries (India) Ltd.,FMCG,Small-Cap,December-2025,160225,36.89
Sun TV Network Ltd.,Media and Communications,Small-Cap,December-2025,642015,36.70
eClerx Services Ltd.,Technology,Small-Cap,December-2025,78627,36.35
Solar Industries India Ltd.,Chemicals,Large-Cap,December-2025,28388,36.23
Care Ratings Ltd.,Miscellaneous,Small-Cap,December-2025,231691,36.17
Indegene Ltd.,Miscellaneous,Small-Cap,December-2025,682388,35.89
UTI Asset Management Company Ltd.,Financials,Small-Cap,December-2025,313695,35.61
Indian Overseas Bank,Financials,Mid-Cap,December-2025,9487207,35.54
Dredging Corporation Of India Ltd.,Logistics,Small-Cap,December-2025,371468,34.46
Tata Consumer Products Ltd.,FMCG,Large-Cap,December-2025,290053,34.29
Vedant Fashions Ltd.,Textile,Small-Cap,December-2025,572980,34.10
Sagar Cements Ltd.,Construction,Small-Cap,December-2025,1568407,33.80
Go Digit General Insurance Ltd.,Financials,Small-Cap,December-2025,928005,32.61
CreditAccess Grameen Ltd.,Financials,Small-Cap,December-2025,245612,32.06
Cochin Shipyard Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,192682,31.66
Welspun Living Ltd.,Textile,Small-Cap,December-2025,2206260,30.82
Astrazeneca Pharma India Ltd.,Healthcare,Small-Cap,December-2025,34018,30.71
Shyam Metalics And Energy Ltd.,Metals,Small-Cap,December-2025,369243,30.68
Paradeep Phosphates Ltd.,Chemicals,Small-Cap,December-2025,1886596,30.50
Adani Power Ltd.,Energy,Large-Cap,December-2025,2091590,30.38
Shipping Corporation Of India Ltd.,Logistics,Small-Cap,December-2025,1309426,30.35
BEML Ltd.,Logistics,Small-Cap,December-2025,164422,30.32
Kirloskar Brothers Ltd.,Capital Goods,Small-Cap,December-2025,183735,30.32
Prudent Corporate Advisory Services Ltd.,Financials,Small-Cap,December-2025,120120,30.16
Cemindia Projects Ltd.,Infrastructure,Small-Cap,December-2025,368445,30.00
Landmark Cars Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,595559,29.96
Fiem Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,130374,29.50
Kirloskar Pneumatic Company Ltd.,Capital Goods,Small-Cap,December-2025,273291,29.33
Indian Oil Corporation Ltd.,Energy,Large-Cap,December-2025,1783759,29.27
Navin Fluorine International Ltd.,Chemicals,Small-Cap,December-2025,47854,27.89
NMDC Ltd.,Energy,Mid-Cap,December-2025,3517912,27.63
Finolex Industries Ltd.,Consumer Durables,Small-Cap,December-2025,1550905,27.35
Bayer CropScience Ltd.,Chemicals,Small-Cap,December-2025,59095,27.23
FSN E-Commerce Ventures Ltd.,Retail and Other Services,Mid-Cap,December-2025,1017627,27.09
Asahi India Glass Ltd.,Construction,Small-Cap,December-2025,259366,26.40
Godfrey Phillips India Ltd.,FMCG,Mid-Cap,December-2025,93134,26.24
Honeywell Automation India Ltd.,Consumer Durables,Small-Cap,December-2025,7575,25.83
Ethos Ltd.,Retail and Other Services,Small-Cap,December-2025,82257,24.80
Graphite India Ltd.,Capital Goods,Small-Cap,December-2025,410981,24.59
