Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Bharat Dynamics Ltd.,Capital Goods,Mid-Cap,November-2025,772157,117.50
Vedant Fashions Ltd.,Textile,Small-Cap,November-2025,1830247,114.75
Vijaya Diagnostic Centre Ltd.,Healthcare,Small-Cap,November-2025,1131217,112.37
Sundram Fasteners Ltd.,Automobile and Ancillaries,Small-Cap,November-2025,1192086,112.30
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Small-Cap,November-2025,641767,110.82
Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,Small-Cap,November-2025,764348,109.31
Sammaan Capital Ltd.,Financials,Small-Cap,November-2025,6223520,106.53
Gujarat Gas Ltd.,Energy,Small-Cap,November-2025,2650554,106.49
Havells India Ltd.,Capital Goods,Mid-Cap,November-2025,721029,105.84
NCC Ltd.,Infrastructure,Small-Cap,November-2025,5494379,105.43
Cyient Ltd.,Technology,Small-Cap,November-2025,914337,104.51
Torrent Pharmaceuticals Ltd.,Healthcare,Large-Cap,November-2025,283580,103.23
Five-Star Business Finance Ltd.,Financials,Small-Cap,November-2025,1644506,102.26
Berger Paints India Ltd.,Chemicals,Mid-Cap,November-2025,1812973,100.32
Orient Electric Ltd.,Consumer Durables,Small-Cap,November-2025,4858112,97.96
Aditya Infotech Ltd.,Miscellaneous,Small-Cap,November-2025,686629,97.78
Jindal Stainless Ltd.,Metals,Mid-Cap,November-2025,1274379,97.16
KFin Technologies Ltd.,Financials,Small-Cap,November-2025,901570,97.12
Pearl Global Industries Ltd.,Textile,Small-Cap,November-2025,617745,92.81
Birlasoft Ltd.,Technology,Small-Cap,November-2025,2416186,90.82
Cera Sanitaryware Ltd.,Construction,Small-Cap,November-2025,152793,89.87
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,Large-Cap,November-2025,327893,88.67
Graphite India Ltd.,Capital Goods,Small-Cap,November-2025,1498843,88.29
