Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Cochin Shipyard Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,378855,59.7
Bajaj Housing Finance Ltd.,Financials,Mid-Cap,February-2026,6481711,57.65
Acutaas Chemicals Ltd.,Healthcare,Small-Cap,February-2026,277144,56.42
Ramco Systems Ltd.,Technology,Small-Cap,February-2026,1224579,55.87
Kalyan Jewellers India Ltd.,Retail and Other Services,Mid-Cap,February-2026,1413126,54.53
NLC India Ltd.,Energy,Mid-Cap,February-2026,2073498,53.82
Newgen Software Technologies Ltd.,Technology,Small-Cap,February-2026,976496,53.26
Syrma SGS Technology Ltd.,Capital Goods,Small-Cap,February-2026,664891,52.63
Engineers India Ltd.,Infrastructure,Small-Cap,February-2026,2665732,52.54
City Union Bank Ltd.,Financials,Small-Cap,February-2026,1729208,50.56
Shakti Pumps (India) Ltd.,Capital Goods,Small-Cap,February-2026,886849,50.41
Indiamart Intermesh Ltd.,Retail and Other Services,Small-Cap,February-2026,230455,49.94
Vardhman Textiles Ltd.,Textile,Small-Cap,February-2026,1021838,49.81
Oswal Pumps Ltd.,Capital Goods,Small-Cap,February-2026,1398265,49.75
Whirlpool Of India Ltd.,Consumer Durables,Small-Cap,February-2026,578958,49.2
Varroc Engineering Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,874870,48.9
Ahluwalia Contracts (India) Ltd.,Construction,Small-Cap,February-2026,593898,48.6
Honeywell Automation India Ltd.,Consumer Durables,Small-Cap,February-2026,14930,48.04
Ashok Leyland Ltd.,Automobile and Ancillaries,Mid-Cap,February-2026,2341969,47.75
JK Tyre & Industries Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,935024,47.72
The Federal Bank Ltd.,Financials,Mid-Cap,February-2026,1606305,47.19
Pfizer Ltd.,Healthcare,Small-Cap,February-2026,97109,46.74
Atul Ltd.,Chemicals,Small-Cap,February-2026,72425,46.67
SBI Cards And Payment Services Ltd.,Financials,Mid-Cap,February-2026,601231,45.93
Sansera Engineering Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,222760,45.41
Privi Speciality Chemicals Ltd.,Chemicals,Small-Cap,February-2026,154929,45.33
Garware Hi-Tech Films Ltd.,Consumer Durables,Small-Cap,February-2026,123883,44.76
DLF Ltd.,Construction,Large-Cap,February-2026,717949,44.5
Canara Robeco Asset Management Co Ltd.,Financials,Small-Cap,February-2026,1755574,44.09
Transformers & Rectifiers (India) Ltd.,Capital Goods,Small-Cap,February-2026,1606712,43.89
V.S.T. Tillers Tractors Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,77580,43.83
Zee Entertainment Enterprises Ltd.,Media and Communications,Small-Cap,February-2026,5051482,43.4
CCL Products (India) Ltd.,FMCG,Small-Cap,February-2026,427100,42.4
