Stock Name,Sector,Classification,Month,Net Qty Sold,Approx. Sell Value(In Rs. cr) *
Sansera Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,261353,44.77
Mahanagar Gas Ltd.,Energy,Small-Cap,December-2025,371138,43.35
Jyothy Labs Ltd.,FMCG,Small-Cap,December-2025,1476480,43.02
Reliance Power Ltd.,Energy,Small-Cap,December-2025,11273570,42.16
Awfis Space Solutions Ltd.,Miscellaneous,Small-Cap,December-2025,812674,41.8
Transformers & Rectifiers (India) Ltd.,Capital Goods,Small-Cap,December-2025,1494325,41.56
Avenue Supermarts Ltd.,Retail and Other Services,Large-Cap,December-2025,106460,41.41
Aditya Infotech Ltd.,Miscellaneous,Small-Cap,December-2025,273684,41.39
Abbott India Ltd.,Healthcare,Mid-Cap,December-2025,13736,40.59
AIA Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,102649,40.44
Vikran Engineering Ltd.,Infrastructure,Small-Cap,December-2025,3879832,40.06
Mishra Dhatu Nigam Ltd.,Metals,Small-Cap,December-2025,1174488,39.47
Balrampur Chini Mills Ltd.,FMCG,Small-Cap,December-2025,876993,39.11
Aegis Logistics Ltd.,Miscellaneous,Small-Cap,December-2025,525393,38.91
Bank Of India,Financials,Mid-Cap,December-2025,2673641,38.9
SJVN Ltd.,Energy,Small-Cap,December-2025,5064281,38.65
Gujarat State Petronet Ltd.,Energy,Small-Cap,December-2025,1291902,38.35
Mangalore Refinery And Petrochemicals Ltd.,Energy,Small-Cap,December-2025,2429395,37.67
Balkrishna Industries Ltd.,Automobile and Ancillaries,Mid-Cap,December-2025,160987,37.26
CarTrade Tech Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,124505,36.82
PTC Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,19868,36.52
Varroc Engineering Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,577647,36.1
Jain Resource Recycling Ltd.,Metals,Small-Cap,December-2025,871856,35.48
Motilal Oswal Financial Services Ltd.,Financials,Mid-Cap,December-2025,387328,35.15
Coromandel International Ltd.,Chemicals,Mid-Cap,December-2025,147729,34.34
Indian Renewable Energy Development Agency Ltd.,Financials,Mid-Cap,December-2025,2418645,34.2
Jamna Auto Industries Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,2835705,34.19
Manorama Industries Ltd.,FMCG,Small-Cap,December-2025,258961,34.05
Apollo Tyres Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,662257,33.58
Aether Industries Ltd.,Chemicals,Small-Cap,December-2025,382051,33.19
Hatsun Agro Product Ltd.,FMCG,Small-Cap,December-2025,322206,32.69
TeamLease Services Ltd.,Miscellaneous,Small-Cap,December-2025,201648,32.31
Zaggle Prepaid Ocean Services Ltd.,Technology,Small-Cap,December-2025,847724,31.37
RateGain Travel Technologies Ltd.,Technology,Small-Cap,December-2025,446566,31.31
JSW Infrastructure Ltd.,Infrastructure,Mid-Cap,December-2025,1075760,29.86
National Securities Depository Ltd.,Financials,Small-Cap,December-2025,270300,29.44
Campus Activewear Ltd.,FMCG,Small-Cap,December-2025,1070781,28.8
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,Small-Cap,December-2025,1507588,27.66
Jyoti CNC Automation Ltd.,Capital Goods,Small-Cap,December-2025,273087,27.3
NRB Bearings Ltd.,Automobile and Ancillaries,Small-Cap,December-2025,961102,26.97
Syrma SGS Technology Ltd.,Capital Goods,Small-Cap,December-2025,345660,26.85
The Jammu & Kashmir Bank Ltd.,Financials,Small-Cap,December-2025,2563502,26.57
Sunteck Realty Ltd.,Construction,Small-Cap,December-2025,642348,26.31
Religare Enterprises Ltd.,Financials,Small-Cap,December-2025,1060360,26.22
Union Bank Of India,Financials,Large-Cap,December-2025,1692760,25.99
Vikram Solar Ltd.,Capital Goods,Small-Cap,December-2025,1025068,25.6
Emcure Pharmaceuticals Ltd.,Healthcare,Small-Cap,December-2025,183474,25.49
Stylam Industries Ltd.,Construction,Small-Cap,December-2025,116540,25.05
Brainbees Solutions Ltd.,Retail and Other Services,Small-Cap,December-2025,842371,24.82
Shakti Pumps (India) Ltd.,Capital Goods,Small-Cap,December-2025,350877,24.65
Gujarat Pipavav Port Ltd.,Infrastructure,Small-Cap,December-2025,1359033,24.51
TVS Holdings Ltd.,Financials,Small-Cap,December-2025,17404,24.47
Mahindra & Mahindra Financial Services Ltd.,Financials,Mid-Cap,December-2025,614997,23.83
Delta Corp Ltd.,Retail and Other Services,Small-Cap,December-2025,3417650,23.64
Gokaldas Exports Ltd.,Textile,Small-Cap,December-2025,277169,23.14
Engineers India Ltd.,Infrastructure,Small-Cap,December-2025,1146505,22.82
Schneider Electric Infrastructure Ltd.,Capital Goods,Small-Cap,December-2025,316283,22.76
Thejo Engineering Ltd.,Capital Goods,Small-Cap,December-2025,131380,22.31
JM Financial Ltd.,Financials,Small-Cap,December-2025,1483022,21.91
SBFC Finance Ltd.,Financials,Small-Cap,December-2025,2058424,21.86
Yatra Online Ltd,Travel,Small-Cap,December-2025,1219688,21.18
BASF India Ltd.,Chemicals,Small-Cap,December-2025,49502,20.09
CSB Bank Ltd.,Financials,Small-Cap,December-2025,458129,19.96
Chalet Hotels Ltd.,Travel,Small-Cap,December-2025,226673,19.91
