Stock Name,Sector,Classification,Month,Net Qty Bought,Approx. Buy Value(In Rs. cr) *
Bajaj Auto Ltd.,Automobile and Ancillaries,Large-Cap,February-2026,107262,104.96
Kalpataru Projects International Ltd.,Infrastructure,Small-Cap,February-2026,879411,104.83
CE Info Systems Ltd.,Technology,Small-Cap,February-2026,871163,102.58
Ethos Ltd.,Retail and Other Services,Small-Cap,February-2026,409749,102.13
CRISIL Ltd.,Miscellaneous,Small-Cap,February-2026,224376,101.42
Pine Labs Ltd.,Financials,Small-Cap,February-2026,4836094,101.15
Dr. Lal Pathlabs Ltd.,Healthcare,Small-Cap,February-2026,717278,100.76
LG Electronics India Ltd.,Consumer Durables,Mid-Cap,February-2026,658490,100.47
Meesho Ltd.,Retail and Other Services,Mid-Cap,February-2026,5877114,98.19
Wakefit Innovations Ltd.,FMCG,Small-Cap,February-2026,5317076,98.12
Thermax Ltd.,Capital Goods,Mid-Cap,February-2026,322027,96.54
Siemens Ltd.,Capital Goods,Large-Cap,February-2026,293092,95.55
Ratnamani Metals & Tubes Ltd.,Metals,Small-Cap,February-2026,405815,94.81
International Gemmological Institute (India) Ltd.,Miscellaneous,Small-Cap,February-2026,2954387,94.67
Biocon Ltd.,Healthcare,Mid-Cap,February-2026,2492110,94.28
CarTrade Tech Ltd.,Automobile and Ancillaries,Small-Cap,February-2026,416652,92.71
The Ramco Cements Ltd.,Construction,Small-Cap,February-2026,819676,92.25
Schneider Electric Infrastructure Ltd.,Capital Goods,Small-Cap,February-2026,1135171,90.77
United Breweries Ltd.,FMCG,Mid-Cap,February-2026,576464,88.59
Data Patterns (India) Ltd.,Capital Goods,Small-Cap,February-2026,293161,86.22
TBO Tek Ltd.,Travel,Small-Cap,February-2026,656071,85.88
PVR Inox Ltd.,Media and Communications,Small-Cap,February-2026,852909,85.16
PG Electroplast Ltd.,Consumer Durables,Small-Cap,February-2026,1442392,84.78
Finolex Cables Ltd.,Capital Goods,Small-Cap,February-2026,1031908,84.41
JK Cement Ltd.,Construction,Mid-Cap,February-2026,149251,83.43
Oil India Ltd.,Energy,Mid-Cap,February-2026,1678171,83.40
Zen Technologies Ltd.,Capital Goods,Small-Cap,February-2026,594384,82.49
Jindal Saw Ltd.,Metals,Small-Cap,February-2026,4559403,82.33
Solar Industries India Ltd.,Chemicals,Large-Cap,February-2026,59489,80.26
